2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
35,11.36041317,5.453582008,0.877240374,36,0.486111111,29.392,6.675581178,50,0.7
4,3.055050463,2.081665999,0.731925055,4,0.666666667,4.59,2.256758334,4,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
6,5.163977795,2.581988897,0.866025404,6,0.5,8.973,2.763953196,8,0.75
6,3.265986324,2.905932629,0.456435465,6,0.666666667,6.277,2.763953196,7,0.857142857
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
50,10.51126363,7.143836758,0.73354921,51,0.568181818,30.633,7.978845608,64,0.78125
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
4,3.651483717,1.825741858,0.866025404,4,0.666666667,5.053,2.256758334,4,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
5,4.253087215,1.943686139,0.88946364,5,0.555555556,6.186,2.523132522,6,0.833333333
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
48,15.214448,6.319042192,0.909670049,48,0.41025641,44.403,7.81764019,83,0.578313253
29,8.375353458,5.685518022,0.734286985,29,0.644444444,29.566,6.07650778,38,0.763157895
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1
12,6.799586475,3.107171166,0.889484817,12,0.666666667,14.233,3.908820095,15,0.8
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1
