109,33.64148396,18.1697509,0.841601128,109,0.197463768,107.835,11.78062436,391,0.278772379,NOMOLD
59,14.61676805,10.30819724,0.708977648,60,0.351190476,48.811,8.667244841,102,0.578431373,NOMOLD
103,27.24844427,13.88049592,0.860526853,195,0.301169591,55.617,11.45179781,219,0.470319635,NOMOLD
101,35.39164019,20.22152221,0.820696507,101,0.204453441,108.769,11.34007028,372,0.271505376,NOMOLD
136,35.52448909,21.3212779,0.799860954,349,0.279835391,78.153,13.15904928,384,0.354166667,NOMOLD
42,12.93824714,8.928206538,0.723749238,42,0.424242424,37.927,7.312732791,74,0.567567568,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
72,16.45579563,10.97767095,0.744967653,72,0.48,50.456,9.57461473,123,0.585365854,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
15,13.53669315,2.453601588,0.983436019,15,0.416666667,23.024,4.370193722,24,0.625,NOMOLD
535,63.34048501,28.34276118,0.894300567,824,0.284423179,205.474,26.09948575,1342,0.398658718,NOMOLD
67,39.24623046,12.44731266,0.94837223,67,0.112794613,80.337,9.236181543,272,0.246323529,NOMOLD
167,24.18975358,10.9493121,0.891692048,182,0.439473684,66.6,14.58187244,220,0.759090909,NOMOLD
217,29.20605951,19.53819467,0.743282716,334,0.449275362,73.258,16.62206309,365,0.594520548,NOMOLD
297,27.58268872,20.86533717,0.654034237,365,0.589285714,93.834,19.44613444,426,0.697183099,NOMOLD
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
3,3.464101615,1.154700538,0.942809042,3,1,3.92,1.954410048,3,1,NOMOLD
5,4.492622032,1.72134074,0.923686818,5,0.625,6.368,2.523132522,6,0.833333333,NOMOLD
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1,NOMOLD
1,1.154700538,1.154700538,0,1,1,0,1.128379167,1,1,NOMOLD
2,2.309401077,1.154700538,0.866025404,2,1,1.96,1.595769122,2,1,NOMOLD
